Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,9156,6177,6177,393,207,0.527,1.84,0.63,172.75
2,9710,6209,6209,599,389,0.649,1.65,0.91,185.23
3,13023,6946,6946,916,561,0.612,2.14,1.03,194.61
4,16886,8380,8380,1279,988,0.772,0.97,1.4,204.03
5,21249,6638,6638,1420,1156,0.814,1.83,1.58,225.96
6,25424,8008,8008,2020,1511,0.748,1.04,2.39,268.91
7,27165,8185,8185,2009,1361,0.677,1.77,1.79,262.06
8,27011,6293,6293,2098,1505,0.717,1.59,1.82,238.02
9,25211,4921,4921,2025,1632,0.806,1.37,1.82,239.31
10,25047,3997,3997,1492,1177,0.789,1.53,1.79,251.42
11,23592,5452,5452,2616,2196,0.839,1.57,1.76,282.79
12,26021,4527,4527,2750,2235,0.813,1.85,2.65,341.84
13,26588,4678,4678,2362,1801,0.762,1.65,2.14,312.61
14,25229,4294,4294,1875,1241,0.662,2.03,1.97,261.43
15,24952,2460,2460,521,142,0.273,2.35,1.82,272.16
16,27497,2852,2852,861,520,0.604,1.67,2.02,270.75
17,27942,3162,3162,1634,1307,0.8,1.89,2.12,280.72
18,29073,3510,3510,1997,1656,0.829,1.87,2.55,302.96
19,28771,3369,3369,2251,1986,0.882,0.82,2.62,330.37
