Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,9156,6177,6177,376,200,0.532,1.51,0.71,172.84
2,9783,6209,6209,587,388,0.661,1.72,0.81,186.16
3,13118,6946,6946,890,556,0.625,2.07,1.07,194.75
4,17089,8380,8380,1243,943,0.759,1.53,1.32,203.93
5,20978,6638,6638,1315,790,0.601,1.06,1.51,223.27
6,24134,8008,8008,1912,1477,0.772,1.15,2.23,260.88
7,25739,8185,8185,1993,1299,0.652,1.6,2.12,254.35
8,25679,6293,6293,2041,1579,0.774,1.64,2.02,232.84
9,23767,4921,4921,1974,1629,0.825,1.38,1.94,235.66
10,23569,3997,3997,1423,1188,0.835,1.38,2.08,250.03
11,22292,4294,4294,1093,702,0.642,2.01,1.87,260.12
12,24013,2460,2460,459,173,0.377,2.31,2.12,269.37
13,26949,5452,5452,1779,1439,0.809,1.94,2.44,299.3
14,25796,4527,4527,2369,1887,0.797,1.74,2.77,352.47
15,26470,4678,4678,2445,1673,0.684,1.58,2.35,321.53
16,24462,2852,2852,726,429,0.591,2.1,2.2,283.93
17,29040,3162,3162,1606,1378,0.858,1.69,2.43,308.41
18,29518,3510,3510,1961,1688,0.861,1.71,2.69,307.57
19,29229,3369,3369,2215,2000,0.903,0.85,2.91,330.41
