Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,9156,6177,6177,393,207,0.527,1.84,0.86,172.99
2,9710,6209,6209,599,389,0.649,1.65,1.09,185.34
3,13023,6946,6946,916,561,0.612,2.14,1.19,194.47
4,16886,8380,8380,1279,988,0.772,0.97,1.83,203.91
5,21249,6638,6638,1420,1156,0.814,1.83,3.11,226.14
6,25424,8008,8008,2020,1511,0.748,1.04,3.22,268.25
7,27165,8185,8185,2009,1361,0.677,1.77,2.23,261.78
8,27011,6293,6293,2098,1505,0.717,1.59,2.43,237.57
9,25211,4921,4921,2025,1632,0.806,1.37,2.37,239.31
10,25047,3997,3997,1492,1177,0.789,1.53,2.44,251.5
11,23592,4294,4294,1168,629,0.539,2.01,2.14,260.38
12,24125,2460,2460,522,153,0.293,2.49,2.29,277.37
13,27783,5452,5452,1726,1249,0.724,1.65,2.59,306.28
14,26559,4527,4527,2466,1990,0.807,1.86,3.07,357.16
15,27573,4678,4678,2525,1877,0.743,1.74,2.78,329.42
16,25730,2852,2852,749,415,0.554,2.12,2.35,297.45
17,30932,3162,3162,1670,1328,0.795,1.53,2.79,328.62
18,32156,3510,3510,2029,1689,0.832,1.74,3.37,325.17
19,31495,3369,3369,2314,2007,0.867,0.86,3.67,354.38
