Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,3000,3000,3000,51,25,0.49,2.06,0.24,254.56
2,3000,3000,3000,37,27,0.73,1.75,0.1,268.66
3,3000,3000,3000,96,61,0.635,1.62,0.11,283.89
4,3000,3000,3000,141,110,0.78,1.48,0.15,303.96
5,3000,3000,3000,203,172,0.847,1.4,0.16,333.58
6,3000,3000,3000,97,74,0.763,1.82,0.11,308.57
7,3000,3000,3000,396,317,0.801,1.36,0.19,368.02
8,3000,3000,3000,319,183,0.574,1.57,0.38,784.93
9,3000,3000,3000,560,451,0.805,1.73,0.99,1420.19
10,3000,3000,3000,375,357,0.952,1.62,1.3,1692.77
11,3000,3000,3000,258,208,0.806,2.15,0.19,439.0
12,3000,3000,3000,647,590,0.912,1.84,0.47,816.91
13,3000,3000,3000,700,584,0.834,1.89,0.71,1078.05
14,3000,3000,3000,521,388,0.745,2.0,0.92,1436.07
15,3000,3000,3000,43,24,0.558,1.31,1.02,1311.07
16,3000,3000,3000,62,21,0.339,1.94,0.12,323.48
17,3000,3000,3000,449,422,0.94,1.8,0.18,397.87
18,3000,3000,3000,424,355,0.837,1.93,0.22,449.61
19,3000,3000,3000,594,574,0.966,1.07,0.28,524.58
