Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,81435,66497,66497,1867,1153,0.618,1.87,11.22,276.33
2,83955,63404,63404,1818,1171,0.644,1.81,10.77,290.64
3,90707,72048,72048,2961,2022,0.683,1.81,12.9,300.25
4,96700,80779,80779,5069,3776,0.745,1.2,15.29,311.3
5,99301,76305,76305,4080,3497,0.857,1.67,14.2,333.45
6,73695,80328,73695,2345,1808,0.771,1.89,11.05,331.02
7,100000,81701,81701,6123,4930,0.805,2.44,15.99,398.21
8,100000,73306,73306,5880,4699,0.799,1.63,14.47,402.83
9,100000,62313,62313,9078,8087,0.891,1.44,12.06,405.44
10,100000,53523,53523,6755,6003,0.889,1.67,10.38,418.98
11,67449,47394,47394,1167,769,0.659,2.3,6.11,323.46
12,100000,29736,29736,1217,674,0.554,1.89,5.74,391.57
13,100000,68745,68745,4725,3957,0.837,2.12,13.03,459.17
14,100000,55782,55782,10834,9358,0.864,1.66,10.8,627.33
15,100000,56232,56232,8750,6794,0.776,1.53,11.17,824.72
16,71878,38579,38579,765,371,0.485,2.41,5.33,347.54
17,100000,43800,43800,7532,6597,0.876,1.66,8.5,439.82
18,100000,45602,45602,8401,6274,0.747,1.83,8.99,496.55
19,100000,52898,52898,11346,10816,0.953,1.12,10.13,586.95
