Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,81435,66497,66497,1960,1413,0.721,2.24,27.49,276.52
2,82375,63404,63404,1938,1202,0.62,1.75,28.83,289.62
3,89954,72048,72048,3133,2048,0.654,1.78,34.22,300.7
4,95920,80779,80779,5184,4187,0.808,1.65,35.78,310.56
5,98425,76305,76305,4296,3442,0.801,1.26,38.91,329.91
6,71413,80328,71413,2380,1443,0.606,2.19,30.46,327.95
7,100000,81701,81701,6241,4377,0.701,2.09,39.61,398.11
8,100000,73306,73306,6039,4562,0.755,1.77,35.15,409.9
9,100000,62313,62313,9450,8422,0.891,1.71,31.45,412.86
10,99801,53523,53523,7073,6092,0.861,1.89,26.86,436.18
11,57794,47394,47394,1187,643,0.542,2.45,14.52,321.5
12,98380,29736,29736,1331,703,0.528,1.81,15.32,373.32
13,98635,68745,68745,5985,4749,0.793,2.3,37.17,422.45
14,100000,55782,55782,11353,9713,0.856,1.65,28.39,566.7
15,100000,56232,56232,9167,7456,0.813,1.68,28.65,701.57
16,64445,38579,38579,858,422,0.492,2.3,11.18,333.64
17,99278,43800,43800,7934,6965,0.878,1.81,21.38,407.03
18,99632,45602,45602,8827,7868,0.891,2.06,21.86,451.25
19,99670,52898,52898,11800,11174,0.947,1.14,28.23,517.67
