Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,3000,3000,3000,80,45,0.562,1.36,0.54,180.22
2,3000,3000,3000,102,44,0.431,1.72,0.68,192.0
3,3001,3000,3000,197,107,0.543,1.78,0.74,199.49
4,3000,3000,3000,277,206,0.744,1.16,0.99,206.79
5,3001,3000,3000,289,220,0.761,0.68,1.01,224.3
6,3000,3001,3000,320,275,0.859,0.88,0.58,227.12
7,3001,3000,3000,443,361,0.815,2.6,2.14,279.3
8,3000,3000,3000,382,273,0.715,1.88,2.25,278.62
9,3001,3000,3000,517,427,0.826,1.14,2.1,276.26
10,3000,3000,3000,369,315,0.854,1.72,2.23,286.43
11,3000,3000,3000,343,291,0.848,1.56,0.62,235.96
12,3000,3001,3000,617,515,0.835,1.34,2.49,358.29
13,3000,3000,3000,618,506,0.819,1.44,4.83,442.75
14,3000,3000,3000,489,346,0.708,1.54,5.22,490.1
15,3000,3000,3000,86,28,0.326,1.38,13.79,4002.38
16,3000,3000,3000,94,50,0.532,1.34,1.11,120.41
17,3000,3000,3000,317,252,0.795,1.5,2.99,227.75
18,3001,3000,3000,324,259,0.799,1.8,4.4,304.99
19,3001,3000,3000,455,413,0.908,0.66,6.3,425.94
