Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,19739,11670,11670,677,482,0.712,1.76,1.19,196.22
2,20799,12166,12166,748,352,0.471,1.52,1.31,209.55
3,27806,13731,13731,992,675,0.68,1.61,1.81,222.79
4,35735,18498,18498,1309,1014,0.775,1.01,2.74,239.71
5,44822,14941,14941,1528,1201,0.786,1.14,2.72,263.36
6,14659,18076,14659,922,746,0.809,1.09,1.33,248.48
7,38530,17702,17702,2010,1544,0.768,1.52,4.42,320.49
8,37621,14657,14657,1609,1210,0.752,1.74,3.89,320.0
9,35905,11680,11680,1895,1484,0.783,1.23,3.55,317.57
10,37502,10346,10346,1409,1143,0.811,1.39,3.49,328.43
11,14993,14117,14117,906,733,0.809,1.69,1.27,255.8
12,31691,10560,10560,2490,1847,0.742,1.9,4.08,397.53
13,31801,9588,9588,1956,1437,0.735,1.4,7.39,301.45
14,31020,8264,8264,1680,1056,0.629,1.89,6.35,388.03
15,33292,5539,5539,413,160,0.387,1.67,9.09,454.74
16,17178,8587,8587,520,336,0.646,1.82,1.05,98.11
17,28926,9928,9928,1922,1633,0.85,1.34,2.66,166.86
18,30296,9380,9380,2206,1930,0.875,1.58,3.35,209.37
19,30098,11156,11156,3131,2740,0.875,0.68,4.14,272.24
