Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,19739,11670,11670,710,474,0.668,1.59,1.31,195.53
2,20900,12166,12166,803,361,0.45,1.52,1.31,211.22
3,28235,13731,13731,1034,667,0.645,2.07,1.61,224.74
4,36757,18498,18498,1405,988,0.703,1.03,2.16,241.47
5,45611,14941,14941,1608,1274,0.792,1.8,2.35,267.75
6,15303,18076,15303,963,748,0.777,1.2,1.48,252.73
7,39298,17702,17702,2104,1530,0.727,1.54,3.84,326.79
8,38198,14657,14657,1701,1169,0.687,1.54,3.81,326.37
9,35916,11680,11680,1935,1508,0.779,1.51,3.64,328.46
10,38016,10346,10346,1493,1155,0.774,1.42,3.79,346.46
11,15931,8264,8264,513,256,0.499,1.74,1.1,238.3
12,28339,5539,5539,511,167,0.327,1.9,2.76,296.93
13,31417,14117,14117,1557,1139,0.732,1.83,3.48,353.98
14,40214,10560,10560,2541,1783,0.702,1.7,5.3,513.52
15,40850,9588,9588,2411,1498,0.621,1.51,16.56,454.32
16,16521,8587,8587,545,338,0.62,1.97,1.2,110.96
17,31675,9928,9928,1959,1592,0.813,1.38,3.6,206.36
18,32539,9380,9380,2251,1900,0.844,1.56,4.37,261.58
19,31954,11156,11156,3282,2729,0.832,0.71,5.21,345.2
