Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,19739,11670,11670,677,482,0.712,1.76,1.36,196.07
2,20799,12166,12166,748,352,0.471,1.52,1.63,209.33
3,27806,13731,13731,992,675,0.68,1.61,2.1,222.27
4,35735,18498,18498,1309,1014,0.775,1.01,2.96,238.41
5,44822,14941,14941,1528,1201,0.786,1.14,3.09,262.57
6,14659,18076,14659,922,746,0.809,1.09,1.74,248.64
7,38530,17702,17702,2010,1544,0.768,1.52,4.89,319.96
8,37621,14657,14657,1609,1210,0.752,1.74,4.32,318.59
9,35905,11680,11680,1895,1484,0.783,1.23,4.19,316.05
10,37502,10346,10346,1409,1143,0.811,1.39,3.81,327.34
11,14993,8264,8264,443,235,0.53,1.9,1.47,233.05
12,27751,5539,5539,423,166,0.392,1.74,2.91,287.67
13,30839,14117,14117,1484,1157,0.78,1.86,3.81,342.09
14,39791,10560,10560,2435,1838,0.755,1.75,8.18,314.87
15,40201,9588,9588,2295,1546,0.674,1.55,17.71,412.62
16,15741,8587,8587,516,342,0.663,1.77,1.44,109.57
17,30884,9928,9928,1906,1616,0.848,1.45,4.02,201.48
18,31674,9380,9380,2186,1934,0.885,1.67,4.7,257.34
19,31200,11156,11156,3149,2738,0.869,0.73,5.74,342.7
