Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Reprojection Error,Time (s),Memory (MB)
1,9156,6177,9156,393,207,90.27,0.63,166.5
2,6177,6209,6177,580,399,52.44,0.66,169.68
3,6209,6946,6209,878,544,54.82,0.59,174.4
4,6946,8380,6946,1206,990,18.66,0.61,177.84
5,8380,6638,8380,814,728,40.2,0.66,194.62
6,6638,8008,6638,1726,1414,16.19,0.63,173.62
7,8008,8185,8008,1482,1034,27.75,0.59,175.12
8,8185,6293,8185,1232,881,30.93,0.61,176.8
9,6293,4921,6293,1855,1608,9.62,0.6,177.8
10,4921,3997,4921,1342,1186,23.93,0.53,186.0
11,3997,5452,3997,1807,1675,9.41,0.51,170.94
12,5452,4527,5452,2005,1806,14.28,0.56,180.68
13,4527,4678,4527,1404,1174,14.76,0.5,184.3
14,4678,4294,4678,1520,1155,15.96,0.53,196.68
15,4294,2460,4294,207,112,214.73,0.47,201.99
16,2460,2852,2460,674,520,29.42,0.49,175.07
17,2852,3162,2852,1410,1322,7.45,0.5,181.32
18,3162,3510,3162,1587,1514,6.84,0.48,186.74
19,3510,3369,3510,1894,1852,4.05,0.5,196.57
