Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Reprojection Error,Time (s),Memory (MB)
1,39431,37423,39431,730,485,84.24,2.46,248.82
2,37423,36742,37423,1158,793,73.21,2.32,254.52
3,36742,38326,36742,2176,1416,34.72,2.3,258.53
4,38326,39097,38326,3982,3441,17.65,2.29,261.41
5,39097,38784,39097,2618,2472,26.45,2.32,278.52
6,38784,39212,38784,5046,4369,11.11,2.34,259.62
7,39212,39467,39212,3773,2564,30.56,2.36,260.61
8,39467,38013,39467,3186,2385,20.84,2.3,261.33
9,38013,36026,38013,7787,6935,8.15,2.11,261.93
10,36026,32937,36026,6548,6059,9.69,1.83,269.83
11,32937,36877,32937,7732,7299,5.47,1.88,256.54
12,36877,34034,36877,8814,7979,6.26,1.95,267.13
13,34034,34751,34034,6057,5372,13.19,1.83,273.58
14,34751,32070,34751,5863,4608,12.73,1.74,287.62
15,32070,25763,32070,556,327,205.06,1.3,296.41
16,25763,28959,25763,2384,1520,38.49,1.17,263.29
17,28959,30879,28959,6999,6292,14.11,1.41,269.95
18,30879,31945,30879,7563,6612,5.94,1.56,276.07
19,31945,32693,31945,10536,10391,4.72,1.68,287.0
