Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Reprojection Error,Time (s),Memory (MB)
1,19739,11670,19739,677,482,52.03,1.12,173.32
2,11670,12166,11670,717,337,67.88,0.9,176.23
3,12166,13731,12166,931,598,58.54,0.9,180.52
4,13731,18498,13731,1242,1022,27.17,1.09,183.82
5,18498,14941,18498,1036,971,29.62,1.21,200.47
6,14941,18076,14941,1773,1556,14.34,1.14,181.16
7,18076,17702,18076,1670,1286,15.69,1.41,182.49
8,17702,14657,17702,1224,858,24.01,1.24,183.73
9,14657,11680,14657,1825,1536,16.43,0.93,184.75
10,11680,10346,11680,1321,1156,19.22,0.92,192.07
11,10346,14117,10346,1748,1558,20.83,0.94,178.98
12,14117,10560,14117,2064,1741,11.78,0.91,188.79
13,10560,9588,10560,1358,1044,31.17,0.78,194.12
14,9588,8264,9588,1540,1080,33.49,0.68,205.28
15,8264,5539,8264,302,178,184.39,0.66,218.52
16,5539,8587,5539,919,680,66.62,0.68,184.66
17,8587,9928,8587,1828,1651,12.81,0.76,192.85
18,9928,9380,9928,2052,1896,15.41,0.73,196.63
19,9380,11156,9380,2845,2686,14.15,0.75,208.66
