Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,39431,37423,37423,730,485,0.664,1.8,2.61,264.15
2,39713,36742,36742,851,529,0.622,1.83,2.4,278.53
3,40000,38326,38326,1423,854,0.6,2.03,2.53,287.0
4,40000,39097,39097,2672,2260,0.846,1.28,2.57,295.88
5,40000,38784,38784,2010,1832,0.911,1.94,2.83,318.12
6,39470,39212,39212,1347,1061,0.788,1.85,2.52,322.84
7,40000,39467,39467,3109,2392,0.769,2.47,2.57,388.95
8,40000,38013,38013,2982,2310,0.775,1.87,2.47,395.85
9,40000,36026,36026,4889,4454,0.911,1.46,2.35,397.16
10,40000,32937,32937,3666,3107,0.848,1.74,2.18,412.53
11,37855,36877,36877,2580,1963,0.761,2.12,2.35,340.26
12,40000,34034,34034,6488,5837,0.9,1.65,2.5,480.07
13,40000,34751,34751,5362,4555,0.849,1.54,2.87,573.79
14,40000,32070,32070,3672,2960,0.806,1.88,2.46,625.46
15,40000,25763,25763,459,258,0.562,1.71,2.1,715.79
16,39491,28959,28959,435,204,0.469,2.4,1.93,325.43
17,40000,30879,30879,3757,3255,0.866,1.64,2.25,381.66
18,40000,31945,31945,3904,3432,0.879,1.94,2.32,419.53
19,40000,32693,32693,5462,5221,0.956,1.26,2.38,480.4
