Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,19739,11670,11670,677,482,0.712,1.76,1.41,196.4
2,20799,12166,12166,748,352,0.471,1.52,1.29,209.55
3,27806,13731,13731,992,675,0.68,1.61,1.75,222.5
4,35735,18498,18498,1309,1014,0.775,1.01,2.46,238.65
5,44822,14941,14941,1528,1201,0.786,1.14,2.49,263.47
6,14659,18076,14659,922,746,0.809,1.09,1.2,248.34
7,38530,17702,17702,2010,1544,0.768,1.52,3.9,320.73
8,37621,14657,14657,1609,1210,0.752,1.74,3.34,318.86
9,35905,11680,11680,1895,1484,0.783,1.23,3.21,316.58
10,37502,10346,10346,1409,1143,0.811,1.39,3.1,327.6
11,14993,14117,14117,906,733,0.809,1.69,1.03,254.8
12,31691,10560,10560,2490,1847,0.742,1.9,3.3,398.44
13,31801,9588,9588,1956,1437,0.735,1.4,7.8,395.88
14,31020,8264,8264,1680,1056,0.629,1.89,6.19,338.89
15,33292,5539,5539,413,160,0.387,1.67,10.58,455.92
16,17178,8587,8587,520,336,0.646,1.82,1.03,99.04
17,28926,9928,9928,1922,1633,0.85,1.34,2.35,167.65
18,30296,9380,9380,2206,1930,0.875,1.58,3.13,210.2
19,30098,11156,11156,3131,2740,0.875,0.68,3.77,273.46
